Customer Status,Age,Gender,Dependents,Number of Dependents,Zip Code,City
Churned,75,Male,false,0,94588,Pleasanton
Churned,78,Female,false,0,92663,Newport Beach
Churned,79,Male,false,0,94123,San Francisco
Churned,69,Female,false,0,94945,Novato
Churned,69,Female,false,0,95984,Twain
Churned,71,Male,false,0,95666,Pioneer
Churned,28,Female,false,0,92397,Wrightwood
Churned,32,Female,false,0,92401,San Bernardino
Churned,19,Female,false,0,93260,Posey
Churned,40,Female,true,3,90063,Los Angeles
Churned,50,Female,true,2,91773,San Dimas
Churned,60,Male,false,0,92347,Hinkley
Churned,25,Female,false,0,95010,Capitola
Churned,47,Female,false,0,95301,Atwater
Churned,42,Male,false,0,95815,Sacramento
Churned,20,Male,true,1,92109,San Diego
Churned,39,Female,false,0,93243,Lebec
Churned,28,Female,false,0,92592,Temecula
Churned,22,Male,true,2,96027,Etna
Churned,40,Male,false,0,91340,San Fernando
Churned,68,Female,false,0,92823,Brea
Churned,79,Female,false,0,91411,Van Nuys
Churned,79,Male,false,0,93513,Big Pine
Churned,56,Male,true,3,90039,Los Angeles
Churned,53,Female,false,0,90731,San Pedro
Churned,61,Male,false,0,92028,Fallbrook
Churned,31,Male,false,0,93536,Lancaster
Churned,46,Female,false,0,95417,Branscomb
Churned,58,Male,false,0,95570,Trinidad
Churned,57,Male,false,0,95949,Grass Valley
Churned,44,Male,false,0,90670,Santa Fe Springs
Churned,23,Male,false,0,93657,Sanger
Churned,57,Female,false,0,94703,Berkeley
Churned,57,Female,false,0,95330,Lathrop
Churned,53,Female,false,0,90742,Sunset Beach
Churned,36,Male,false,0,95251,Sheep Ranch
Churned,63,Male,false,0,95614,Cool
Churned,49,Male,false,0,95692,Wheatland
Churned,61,Female,false,0,91343,North Hills
Churned,74,Female,false,0,95562,Rio Dell
Churned,71,Male,false,0,94402,San Mateo
Churned,65,Female,false,0,90007,Los Angeles
Churned,75,Female,false,0,91906,Campo
Churned,76,Male,false,0,95939,Elk Creek
Churned,76,Female,false,0,96040,Hat Creek
Churned,69,Female,false,0,92629,Dana Point
Churned,52,Female,false,0,92860,Norco
Churned,28,Male,false,0,95619,Diamond Springs
Churned,46,Male,false,0,90047,Los Angeles
Churned,22,Female,false,0,90059,Los Angeles
Churned,28,Male,false,0,91321,Newhall
Churned,39,Male,false,0,92382,Running Springs
Churned,41,Male,false,0,92804,Anaheim
Churned,35,Male,false,0,93268,Taft
Churned,34,Female,false,0,94014,Daly City
Churned,64,Male,false,0,94586,Sunol
Churned,58,Female,false,0,94545,Hayward
Churned,50,Female,false,0,90405,Santa Monica
Churned,64,Female,false,0,91030,South Pasadena
Churned,46,Male,true,1,92126,San Diego
Churned,37,Male,false,0,95928,Chico
Churned,30,Male,false,0,96001,Redding
Churned,58,Male,false,0,92027,Escondido
Churned,50,Male,false,0,90660,Pico Rivera
Churned,68,Female,false,0,94707,Berkeley
Churned,66,Male,false,0,96109,Doyle
Churned,75,Female,false,0,93010,Camarillo
Churned,70,Female,false,0,93021,Moorpark
Churned,65,Male,false,0,95251,Vallecito
Churned,69,Male,false,0,95315,Delhi
Churned,46,Female,false,0,94971,Tomales
Churned,38,Male,false,0,95601,Amador City
Churned,61,Female,false,0,95824,Sacramento
Churned,32,Female,false,0,92130,San Diego
Churned,35,Female,false,0,90745,Carson
Churned,51,Female,false,0,90810,Long Beach
Churned,48,Male,false,0,92220,Banning
Churned,27,Male,false,0,93108,Santa Barbara
Churned,40,Male,false,0,95367,Riverbank
Churned,44,Male,false,0,95606,Brooks
Churned,55,Male,false,0,95968,Palermo
Churned,41,Female,false,0,92028,Fallbrook
Churned,63,Male,false,0,91311,Chatsworth
Churned,25,Female,false,0,91423,Sherman Oaks
Churned,29,Female,false,0,92506,Riverside
Churned,62,Female,false,0,95305,Big Oak Flat
Churned,24,Male,false,0,94805,Richmond
Churned,51,Female,false,0,95350,Modesto
Churned,47,Male,false,0,95464,Nice
Churned,70,Female,false,0,95439,Fulton
Churned,74,Male,false,0,95935,Dobbins
Churned,69,Male,false,0,94520,Concord
Churned,70,Female,false,0,95207,Stockton
Churned,73,Female,false,0,95209,Stockton
Churned,66,Female,false,0,95928,Chico
Churned,40,Female,false,0,94946,Nicasio
Churned,55,Female,false,0,95301,Atwater
Churned,54,Female,false,0,95425,Cloverdale
Churned,39,Female,false,0,95663,Penryn
Churned,28,Female,false,0,92117,San Diego
Churned,51,Female,false,0,95405,Santa Rosa
Churned,48,Female,false,0,95726,Pollock Pines
Churned,35,Female,true,3,90221,Compton
Churned,28,Male,false,0,95014,Cupertino
Churned,58,Male,false,0,95632,Galt
Churned,46,Male,false,0,95686,Thornton
Churned,39,Female,false,0,92126,San Diego
Churned,22,Male,false,0,93532,Lake Hughes
Churned,53,Female,false,0,94303,Palo Alto
Churned,34,Male,false,0,95076,Watsonville
Churned,54,Female,false,0,95646,Kirkwood
Churned,31,Female,false,0,95690,Walnut Grove
Churned,27,Male,false,0,96071,Old Station
Churned,30,Male,false,0,96130,Susanville
Churned,33,Female,false,0,90027,Los Angeles
Churned,55,Female,false,0,90502,Torrance
Churned,62,Female,false,0,91203,Glendale
Churned,65,Male,false,0,94102,San Francisco
Churned,80,Male,false,0,95310,Columbia
Churned,80,Female,false,0,91606,North Hollywood
Churned,71,Male,false,0,90248,Gardena
Churned,70,Male,false,0,92325,Crestline
Churned,74,Female,false,0,93591,Palmdale
Churned,34,Female,true,5,90262,Lynwood
